feature,importance
image_emb_372,1731.7183389663696
text_emb_323,1731.051529109478
image_emb_168,1729.3948607444763
text_emb_124,1729.139546096325
image_emb_336,1726.9225608706474
image_emb_442,1724.0917760431767
image_emb_231,1723.9810990095139
image_emb_141,1723.9016548991203
image_emb_4,1722.3815789222717
image_emb_385,1721.0618082284927
image_emb_23,1716.1481702625751
image_emb_475,1716.1427633166313
image_emb_337,1715.6376593112946
image_emb_384,1713.4211874008179
image_emb_448,1712.9616050124168
image_emb_491,1711.0593175292015
image_emb_16,1710.2524238228798
text_emb_160,1710.2234639525414
text_emb_251,1709.084638953209
image_emb_498,1708.1122090220451
image_emb_330,1707.3457680344582
text_emb_13,1704.6382584571838
text_emb_5,1702.245388686657
image_emb_301,1701.6627028882504
image_emb_149,1699.6121531128883
text_emb_184,1699.2465423345566
image_emb_437,1698.6117298007011
text_emb_10,1697.81055945158
image_emb_19,1695.0394688248634
text_emb_62,1693.625017464161
text_emb_211,1689.9372364282608
text_emb_329,1689.3387316465378
image_emb_155,1687.5967555642128
text_emb_339,1686.019527554512
image_emb_50,1684.7637668251991
image_emb_463,1684.7577759623528
text_emb_291,1683.4050730466843
image_emb_392,1680.9077752828598
image_emb_254,1680.571235716343
image_emb_486,1678.0348123908043
image_emb_414,1677.092133283615
image_emb_108,1676.9301354885101
image_emb_291,1674.7540237307549
image_emb_163,1674.261353611946
image_emb_174,1674.0316138267517
text_emb_233,1673.6514058113098
text_emb_360,1672.5448800623417
image_emb_215,1672.152602672577
image_emb_47,1671.174874484539
text_emb_268,1668.2448934912682
image_emb_302,1667.353933930397
image_emb_471,1667.2788910865784
image_emb_289,1667.118266761303
image_emb_11,1665.562274813652
text_emb_101,1664.5190215706825
image_emb_191,1662.6656278967857
image_emb_201,1661.7481234669685
image_emb_153,1660.1907761096954
image_emb_116,1658.8556787669659
image_emb_177,1658.8095797300339
image_emb_253,1658.0457387566566
image_emb_15,1656.6031187176704
image_emb_78,1655.4760737419128
image_emb_496,1654.075121164322
image_emb_184,1650.6796116828918
image_emb_359,1649.962362408638
image_emb_263,1648.7246651649475
image_emb_125,1646.9076051712036
image_emb_296,1646.0733236074448
image_emb_228,1646.0310139656067
text_emb_259,1645.6189208626747
image_emb_169,1645.2465962171555
image_emb_164,1645.1920776963234
image_emb_316,1644.6036983132362
text_emb_143,1644.3381122648716
image_emb_436,1641.3107944130898
image_emb_260,1639.2696915864944
text_emb_149,1632.8933020830154
image_emb_438,1631.7403249144554
image_emb_285,1626.2023324370384
text_emb_330,1624.5996052622795
image_emb_137,1623.2945843338966
image_emb_454,1619.9229490756989
image_emb_31,1619.3357676267624
image_emb_132,1617.3923657536507
image_emb_3,1616.4808235168457
text_emb_167,1616.1566177010536
image_emb_292,1611.2937011122704
image_emb_134,1608.6236944794655
text_emb_76,1605.8149497509003
text_emb_133,1605.6951133608818
text_emb_321,1603.2284008264542
image_emb_22,1601.2621362805367
text_emb_41,1600.3712465167046
image_emb_208,1599.9320079684258
text_emb_120,1597.8869778513908
text_emb_295,1597.7431569695473
text_emb_90,1593.3736013770103
image_emb_51,1591.458732664585
image_emb_419,1588.9778109788895
image_emb_239,1587.4830548465252
image_emb_300,1583.4309151172638
image_emb_70,1583.332535147667
text_emb_282,1583.0299171209335
text_emb_177,1582.0015271306038
text_emb_33,1581.6358724832535
image_emb_430,1579.3936825990677
image_emb_38,1577.3908075094223
text_emb_119,1576.1373156309128
text_emb_277,1575.4413812160492
image_emb_105,1575.0375058054924
text_emb_202,1574.6778934001923
text_emb_128,1573.978400349617
image_emb_48,1573.7649354934692
text_emb_105,1573.4955337047577
image_emb_58,1570.768874168396
text_emb_345,1570.4213733673096
image_emb_145,1568.8938419818878
image_emb_183,1566.749151468277
